id,date,title,originator,source,documentType,classification,category,evidenceRole,warQuestion,summary,repository,citation,sourceNote,url,scanUrl,ocrUrl,status,tags
siop62-1961-04-28-dgzs,1961-04-28,JCLSG Offutt AFB Cable to JCS on SIOP-62 Updates,"JCS Liaison Group, Offutt AFB",NSA Nuclear Vault,JCS cable,Top Secret,Strategic nuclear war plan,Gives aggregate weapons and desired ground zero counts for SIOP-62,What order of magnitude of weapons and target points shaped the inherited plan?,"Discloses aggregate SIOP-62 alert-force and committed-force weapons and designated ground zeroes, showing the scale of the plan Kennedy's administration sought to revise.","U.S. Navy Operational Archives, Arleigh Burke Papers","JCLSG, Offutt AFB cable 292318Z to JCS, April 28, 1961.",Posted as document 27 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-27.pdf,,digitized scan,DGZ; weapons count; alert force; committed force
frus-v11-d18,1962-10-16,Transcript of a Meeting at the White House,White House / ExComm,FRUS,Meeting transcript,No classification marking,U.S. attack or invasion option,"First-day presidential discussion of air strike, invasion, warning, and Soviet response",What choices did Kennedy's advisers first imagine once the missiles were confirmed?,"The first major recorded ExComm discussion after the U-2 evidence, showing immediate consideration of air attack, invasion, blockade, and the risk that Soviet reaction elsewhere could widen the conflict.","Kennedy Library, President's Office Files, Presidential Recordings, Transcripts","Transcript of a Meeting at the White House, October 16, 1962, FRUS, 1961-1963, vol. XI, doc. 18.","Source note in FRUS cites Kennedy Library presidential recordings, audiotape transcript.",https://history.state.gov/historicaldocuments/frus1961-63v11/d18,,,official transcript,ExComm; air strike; invasion; Soviet response
frus-v11-d21,1962-10-16,Off the Record Meeting on Cuba,White House / ExComm,FRUS,Meeting transcript,No classification marking,U.S. attack or invasion option,"Shows deeper first-day discussion of escalation, Berlin, and the costs of military action",How did officials connect an attack on Cuba to a possible Berlin or global crisis?,A long off-the-record White House tape transcript in which Kennedy and advisers weighed whether a surprise attack or invasion would trigger Soviet counteraction and broader war.,"Kennedy Library, President's Office Files, Presidential Recordings, Transcripts","Off the Record Meeting on Cuba, October 16, 1962, FRUS, 1961-1963, vol. XI, doc. 21.","Source note in FRUS cites Kennedy Library presidential recordings, audiotapes 28.2 and 28A.1.",https://history.state.gov/historicaldocuments/frus1961-63v11/d21,,,official transcript,ExComm; Berlin; surprise attack; invasion
frus-v11-d22,1962-10-17,Memorandum of Meeting,John A. McCone / CIA,FRUS,Memorandum of meeting,Top Secret; Eyes Only,U.S. attack or invasion option,Records early intelligence and policy deliberation on possible military action,What did the intelligence and national security principals think the military choices were?,"McCone's record of the October 17 meeting, useful for reconstructing how the air-strike and invasion tracks were discussed before the quarantine decision hardened.",CIA DCI/McCone Files,"Memorandum of Meeting, October 17, 1962, FRUS, 1961-1963, vol. XI, doc. 22.","Source note in FRUS cites CIA DCI/McCone Files, Job 80-B01285A.",https://history.state.gov/historicaldocuments/frus1961-63v11/d22,,,official transcript,McCone; CIA; military options; ExComm
frus-v11-d25,1962-10-17,Letter From Adlai Stevenson to President Kennedy,Adlai Stevenson,FRUS,Memorandum/letter,Secret; Eyes Only,Soviet reaction estimate,Provides a primary alternative to immediate force based on escalation risk,What arguments inside the administration stressed negotiation to avoid a war path?,Stevenson's warning against immediate air strikes and his proposed diplomatic alternatives help define the fork between coercive diplomacy and direct military action.,"Kennedy Library, National Security Files, Countries Series, Cuba","Adlai Stevenson to President Kennedy, October 17, 1962, FRUS, 1961-1963, vol. XI, doc. 25.","Source note in FRUS cites Kennedy Library National Security Files, Countries Series, Cuba.",https://history.state.gov/historicaldocuments/frus1961-63v11/d25,,,official text,Stevenson; diplomacy; air strike alternative; escalation
frus-v11-d31,1962-10-19,Record of Meeting,Department of State principals,FRUS,Meeting record,Secret,U.S. attack or invasion option,"Shows State/Defense/CIA discussion of blockade, air strike, invasion, and likely consequences",How did the principals compare the likely consequences of the main U.S. options?,"A high-value record of policy principals discussing the costs and uncertainties of quarantine, air attack, and invasion before Kennedy selected the public quarantine path.","Department of State, S/S Files, Lot 65 D 438","Record of Meeting, October 19, 1962, FRUS, 1961-1963, vol. XI, doc. 31.","Source note in FRUS cites Department of State S/S Files, Cuba Week Drafts.",https://history.state.gov/historicaldocuments/frus1961-63v11/d31,,,official text,courses of action; air strike; blockade; invasion
frus-v11-d32,1962-10-19,SNIE 11-18-62: Soviet Reactions to Certain U.S. Courses of Action on Cuba,U.S. Intelligence Board / CIA,FRUS,Special National Intelligence Estimate,Top Secret; Controlled Dissemination; Psalm,Soviet reaction estimate,Core estimate of whether U.S. military action would escalate to general war,How did U.S. intelligence estimate Soviet retaliation if the United States attacked Cuba?,"The key intelligence estimate on likely Soviet reaction to warning, blockade, air attack, or invasion. It explicitly considered whether military action could produce a chain of action and reaction leading to general war.","Department of State, S/S Files, Lot 65 D 438, CIA-Cuba","Special National Intelligence Estimate 11-18-62, Soviet Reactions to Certain U.S. Courses of Action on Cuba, October 19, 1962, FRUS, 1961-1963, vol. XI, doc. 32.","Source note in FRUS cites Department of State S/S Files and CIA Documents on the Cuban Missile Crisis, 1962.",https://history.state.gov/historicaldocuments/frus1961-63v11/d32,https://nsarchive2.gwu.edu/nsa/cuba_mis_cri/19621020cia.pdf,,official text plus scan of related October 20 version,SNIE; Soviet reaction; general war; Berlin; air strike
frus-v11-d34,1962-10-20,Minutes of the 505th Meeting of the National Security Council,National Security Council,FRUS,NSC minutes,Top Secret,U.S. attack or invasion option,Shows the President's formal comparison of quarantine and military attack,Why did Kennedy choose quarantine while keeping attack and invasion ready?,"The formal NSC meeting where intelligence briefings and alternative courses of action were reviewed, including the air-strike option and concern about moving too fast into military action.","Kennedy Library, National Security Files, Meetings and Memoranda Series, NSC Meetings","Minutes of the 505th Meeting of the National Security Council, October 20, 1962, FRUS, 1961-1963, vol. XI, doc. 34.",Source note in FRUS cites Kennedy Library NSC Meetings files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d34,,,official text,NSC; quarantine; air strike; Kennedy
frus-v11-d36,1962-10-21,Notes on Meeting With President Kennedy,Robert McNamara / Department of Defense,FRUS,Meeting notes,Top Secret,U.S. attack or invasion option,Most compact account of the air-strike plan and why it probably led to invasion,"If Kennedy ordered air strikes, what did his military advisers expect would follow?","McNamara's notes record the planned sortie structure, the uncertain ability to destroy all missiles, the estimate that some missiles were operational, and the judgment that air strikes would lead inevitably to invasion.","Washington National Records Center, RG 330, OASD(C) A Files","Notes on Meeting With President Kennedy, October 21, 1962, FRUS, 1961-1963, vol. XI, doc. 36.",Source note in FRUS cites WNRC RG 330 OASD(C) files; also reproduced in CIA Documents on the Cuban Missile Crisis.,https://history.state.gov/historicaldocuments/frus1961-63v11/d36,https://nsarchive.gwu.edu/sites/default/files/2022-10/1962-10-21-Notes-on-October-21-1962-Meet.pdf,https://nsarchive.gwu.edu/media/29223/ocr,official text plus scan/OCR,McNamara; air strike; invasion; operational missiles
frus-v11-d38,1962-10-21,Minutes of the 506th Meeting of the National Security Council,National Security Council,FRUS,NSC minutes,Top Secret,U.S. attack or invasion option,Shows attack readiness after the quarantine decision,How ready was the United States to shift from quarantine to attack?,"Records the final pre-speech NSC discussion of quarantine, military preparations, and follow-on air/invasion contingencies if the crisis did not move toward a settlement.","Kennedy Library, National Security Files, Meetings and Memoranda Series, NSC Meetings","Minutes of the 506th Meeting of the National Security Council, October 21, 1962, FRUS, 1961-1963, vol. XI, doc. 38.",Source note in FRUS cites Kennedy Library NSC Meetings files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d38,,,official text,NSC; quarantine; military readiness; air strike
frus-v11-d41,1962-10-22,Minutes of the 507th Meeting of the National Security Council,National Security Council,FRUS,NSC minutes,Top Secret,U.S. attack or invasion option,Documents final preparations on the day Kennedy announced the quarantine,What immediate military and political steps accompanied the public challenge to Moscow?,"Captures the last high-level meeting before the President's broadcast, including military preparations, public messaging, and contingency planning.","Kennedy Library, National Security Files, Meetings and Memoranda Series, NSC Meetings","Minutes of the 507th Meeting of the National Security Council, October 22, 1962, FRUS, 1961-1963, vol. XI, doc. 41.",Source note in FRUS cites Kennedy Library NSC Meetings files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d41,,,official text,NSC; quarantine announcement; military preparations
frus-v11-d47,1962-10-23,Minutes of Meeting of the Executive Committee of the National Security Council,Executive Committee of the NSC,FRUS,ExComm minutes,Top Secret; Sensitive,U.S. attack or invasion option,Shows early ExComm management of the quarantine and military fallbacks,How did the United States manage the first hours after open confrontation began?,"Records ExComm deliberation after the public announcement, including quarantine implementation, interception procedures, and the possibility of military escalation.","Kennedy Library, National Security Files, Executive Committee Meetings","Minutes of Meeting of the Executive Committee of the National Security Council, October 23, 1962, FRUS, 1961-1963, vol. XI, doc. 47.",Source note in FRUS cites Kennedy Library Executive Committee Meetings files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d47,,,official text,ExComm; quarantine; interception; escalation
frus-v11-d54,1962-10-23,Memorandum From the Acting Chairman of the Board of National Estimates to DCI McCone,Board of National Estimates,FRUS,Intelligence memorandum,Top Secret,Soviet reaction estimate,Updates intelligence expectations as the quarantine begins,How did analysts think Soviet behavior might change after the U.S. public ultimatum?,An intelligence memorandum useful for tracing how the estimate of Soviet response evolved once the crisis became public and military forces began moving.,"Department of State, S/S Files, Lot 65 D 438, CIA-Cuba","Memorandum from the Acting Chairman of the Board of National Estimates to DCI McCone, October 23, 1962, FRUS, 1961-1963, vol. XI, doc. 54.",Source note in FRUS cites Department of State S/S Files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d54,,,official text,intelligence estimate; Soviet response; quarantine
frus-v11-d73,1962-10-25,Summary Record of the Fifth Meeting of the Executive Committee of the National Security Council,Executive Committee of the NSC,FRUS,ExComm summary record,Top Secret; Sensitive,U.S. attack or invasion option,Shows the pressure to refine next steps if quarantine failed,What escalation ladder did ExComm discuss before Black Saturday?,"Records the fifth formal ExComm meeting, where quarantine enforcement, Soviet responses, and possible next steps toward military action were actively under review.","Kennedy Library, National Security Files, Meetings and Memoranda Series, Executive Committee","Summary Record of the Fifth Meeting of the Executive Committee of the National Security Council, October 25, 1962, FRUS, 1961-1963, vol. XI, doc. 73.",Source note in FRUS cites Kennedy Library Executive Committee meeting files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d73,,,official text,ExComm; quarantine enforcement; next steps; military action
frus-v11-d77,1962-10-25,Scenario for Airstrike Against Offensive Missile Bases and Bombers in Cuba,Planning Subcommittee of the ExComm / Dillon group,FRUS,Scenario paper,Secret,U.S. attack or invasion option,Direct operational scenario for the airstrike pathway,What would the U.S. airstrike sequence have looked like if Kennedy chose force?,Sets out a scenario for striking offensive missile bases and bombers in Cuba. It is one of the most direct documents for reconstructing the non-quarantine military path.,"Kennedy Library, National Security Files, Countries Series, Cuba, General","Planning Subcommittee paper, Scenario for Airstrike Against Offensive Missile Bases and Bombers in Cuba, October 25, 1962.",FRUS doc. 77; a scanned version is posted by the National Security Archive as the Dillon group discussion paper.,https://history.state.gov/historicaldocuments/frus1961-63v11/d77,https://nsarchive2.gwu.edu/nsa/cuba_mis_cri/19621025dillon.pdf,,official text plus scan,airstrike; bombers; missile bases; Dillon group
frus-v11-d79,1962-10-26,Summary Record of the Sixth Meeting of the Executive Committee of the National Security Council,Executive Committee of the NSC,FRUS,ExComm summary record,Top Secret; Sensitive,U.S. attack or invasion option,Shows ExComm decision-making as the crisis approached its most dangerous point,How close were airstrike and invasion plans on the eve of Black Saturday?,"Records ExComm's October 26 meeting on Soviet communications, quarantine status, military readiness, and possible moves if missile construction continued.","Kennedy Library, National Security Files, Executive Committee, Vol. I","Summary Record of the Sixth Meeting of the Executive Committee of the National Security Council, October 26, 1962, FRUS, 1961-1963, vol. XI, doc. 79.",Source note in FRUS cites Kennedy Library Executive Committee meeting files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d79,,,official text,ExComm; October 26; military readiness; Khrushchev letter
frus-v11-d84,1962-10-26,Telegram Transmitting Chairman Khrushchev's Message to President Kennedy,Nikita Khrushchev,FRUS,Leader message,Secret; Niact; Eyes Only; Verbatim Text,Soviet reaction estimate,Shows Soviet leadership's stated fear of thermonuclear escalation,How did Khrushchev frame the danger if the confrontation continued?,The first major Khrushchev letter of October 26 presented the crisis as a path toward catastrophic war and opened the settlement track based on removing missiles for a non-invasion assurance.,"Kennedy Library, President's Office Files, Cuba Security, Khrushchev Correspondence","Telegram from the Embassy in the Soviet Union to the Department of State, transmitting Khrushchev message, October 26, 1962, FRUS, 1961-1963, vol. XI, doc. 84.",Source note in FRUS cites Kennedy Library Khrushchev Correspondence files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d84,,,official text,Khrushchev; Kennedy; non-invasion; settlement
frus-v11-d90,1962-10-27,Summary Record of the Seventh Meeting of the Executive Committee of the National Security Council,Executive Committee of the NSC,FRUS,ExComm summary record,Top Secret; Sensitive,Black Saturday flashpoint,Shows U.S. deliberation on the morning of the most dangerous day,What options were considered as pressure peaked on October 27?,"The morning Black Saturday ExComm record, before the U-2 shootdown fully dominated the day, showing how Kennedy's advisers were handling the competing Khrushchev messages and military contingencies.","Kennedy Library, National Security Files, Executive Committee, Vol. I","Summary Record of the Seventh Meeting of the Executive Committee of the National Security Council, October 27, 1962, FRUS, 1961-1963, vol. XI, doc. 90.",Source note in FRUS cites Kennedy Library Executive Committee meeting files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d90,,,official text,Black Saturday; ExComm; Khrushchev messages; Turkey
frus-v11-d91,1962-10-27,Message From Chairman Khrushchev to President Kennedy,Nikita Khrushchev,FRUS,Leader message,No classification marking,Settlement and post-crisis weapons removal,Introduces the public Cuba-for-Turkey missile trade demand,How did the Soviet public demand complicate the settlement and increase crisis pressure?,"Khrushchev's October 27 message linked Cuba to U.S. Jupiter missiles in Turkey, creating the settlement problem that shaped the secret Kennedy-Dobrynin understanding.","Department of State, Presidential Correspondence","Message from Chairman Khrushchev to President Kennedy, October 27, 1962, FRUS, 1961-1963, vol. XI, doc. 91.",Source note in FRUS cites Department of State Presidential Correspondence and Kennedy Library files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d91,,,official text,Khrushchev; Jupiter missiles; Turkey; settlement
frus-v11-d94,1962-10-27,Summary Record of the Eighth Meeting of the Executive Committee of the National Security Council,Executive Committee of the NSC,FRUS,ExComm summary record,Top Secret; Sensitive,Black Saturday flashpoint,Core record of U.S. decision-making after the U-2 shootdown,How did the U-2 shootdown and Turkey trade question affect the final decision not to attack?,"The crucial Saturday afternoon ExComm meeting after Maj. Rudolf Anderson's U-2 was shot down. It records the debate over retaliation, invasion preparations, and the message strategy that helped avert immediate war.","Kennedy Library, National Security Files, Executive Committee, Vol. I","Summary Record of the Eighth Meeting of the Executive Committee of the National Security Council, October 27, 1962, FRUS, 1961-1963, vol. XI, doc. 94.",Source note in FRUS cites Kennedy Library Executive Committee meeting files.,https://history.state.gov/historicaldocuments/frus1961-63v11/d94,,,official text,Black Saturday; U-2 shootdown; retaliation; ExComm
frus-supp-324,1962-10-16,Questions U.S. Should Be Prepared to Answer in Case an Armed Attack Might Lead to Nuclear War,Theodore Sorensen,FRUS Microfiche Supplement,White House paper,Top Secret,Damage and casualty expectations,Directly frames the nuclear-war question on the first day of the crisis,What questions did the White House believe it had to answer if an attack on Cuba escalated to nuclear war?,An official FRUS microfiche listing for a Sorensen paper prepared on October 16. It is one of the most directly titled primary records for the counterfactual but is not linked to a public scan in the online supplement.,"Kennedy Library, Sorensen Papers, Classified Subject Files, Cuba, General, 1962","Theodore Sorensen, Questions U.S. Should Be Prepared to Answer in Case Soviet Missiles in Cuba Cause the United States to Initiate an Armed Attack That Might Lead to Nuclear War, October 16, 1962.","Listed as document 324 in FRUS 1961-1963, Volumes X/XI/XII, Microfiche Supplement.",https://history.state.gov/historicaldocuments/frus1961-63v10-12mSupp,,,archival-listing,Sorensen; nuclear war; armed attack; White House
frus-supp-334,1962-10-18,Option III - Invasion,Standing Committee,FRUS Microfiche Supplement,Planning paper,Top Secret,U.S. attack or invasion option,Archival listing for the invasion option paper,What did a full invasion option entail before Kennedy chose quarantine?,A nine-page invasion option paper listed in the official FRUS microfiche supplement. It belongs in the corpus because invasion was the pathway most likely to encounter Soviet tactical nuclear forces in Cuba.,"WNRC, RG 330, OASD(C) A Files, Nitze Files: Black Book, Cuba, Vol. I","Standing Committee paper, Option III - Invasion, October 18, 1962.","Listed as document 334 in FRUS 1961-1963, Volumes X/XI/XII, Microfiche Supplement.",https://history.state.gov/historicaldocuments/frus1961-63v10-12mSupp,,,archival-listing,invasion; Nitze files; OASD; planning paper
frus-supp-345,1962-10-20,I - Air Strike Scenario,Department of Defense / ExComm planning staff,FRUS Microfiche Supplement,Planning paper,Top Secret,U.S. attack or invasion option,Archival listing for an early air-strike scenario,What operational sequence was imagined for striking Cuba's missile system?,A three-page air-strike scenario listed in the official FRUS microfiche supplement. It complements the October 21 McNamara notes and the October 25 Dillon group scenario.,"WNRC, RG 330, OASD(C) A Files, Nitze Files: Black Book, Cuba, Vol. I","Paper, I - Air Strike Scenario, October 20, 1962.","Listed as document 345 in FRUS 1961-1963, Volumes X/XI/XII, Microfiche Supplement.",https://history.state.gov/historicaldocuments/frus1961-63v10-12mSupp,,,archival-listing,air strike; Nitze files; planning scenario; missile sites
frus-supp-348,1962-10-21,JCS Telegram 6830 on Blockade Reactions and General War Plans,Joint Chiefs of Staff,FRUS Microfiche Supplement,JCS telegram,Top Secret,Strategic nuclear war plan,Connects Cuba operations to review of applicable general war plans,Did the crisis trigger review of general war planning outside Cuba?,A JCS telegram to selected military commands on possible reactions to blockade operations and instructions to review applicable general war plans.,"Kennedy Library, National Security Files, Countries Series, Cuba, Cables, 10/16/62-10/21/62","Telegram 6830 from the Joint Chiefs of Staff to Certain Military Commands, October 21, 1962.","Listed as document 348 in FRUS 1961-1963, Volumes X/XI/XII, Microfiche Supplement.",https://history.state.gov/historicaldocuments/frus1961-63v10-12mSupp,,,archival-listing,JCS; general war plans; blockade; military commands
